['http://v.iqiyi.com', '爱奇艺全网影视-中国最新最全的影视资料库']
['http://qipaoxian.iqiyi.com', '起跑线-起跑线视频专区–分甘同味–爱奇艺']
['http://live.iqiyi.com', '游戏直播_爱奇艺直播-爱奇艺']
['http://yyst.iqiyi.com', '洋溢视听-洋溢视听视频专区–分甘同味–爱奇艺']
['http://sichuan.iqiyi.com', '四川频道-四川热点新闻资讯、生活人物访谈视频-爱奇艺']
['http://geo.iqiyi.com', 'Welcome to nginx!']
['http://guanggao.iqiyi.com', '广告频道-品牌广告、公益广告等经典创意广告视频-爱奇艺']
['http://cserver.iqiyi.com', '【爱奇艺用户帮助中心】-业务帮助_自助服务_客服咨询']
['http://notice.iqiyi.com', 'Welcome to tengine!']
['http://msg.iqiyi.com', 'Welcome to nginx!']
['http://rainbow.iqiyi.com', '彩虹公益短片计划-娱乐-最新娱乐视频资讯-爱奇艺']
['http://youxi.iqiyi.com', '游戏频道-网络游戏、单机游戏、电子竞技等游戏视频大全 -爱奇艺']
['http://g.ppstream.iqiyi.com', '网页游戏大全 - 爱奇艺网页游戏中心-webgame-最新网页游戏大全平台']
['http://37love.iqiyi.com', '37度爱-37度爱视频专区–分甘同味–爱奇艺']
['http://v2006.iqiyi.com', '唯众传媒专区-爱奇艺']
['http://help.pps.tv.iqiyi.com', '爱奇艺PPS影音帮助中心-播放']
['http://izaodao.iqiyi.com', '早道日语-早道日语视频专区–分甘同味–爱奇艺']
['http://pili.iqiyi.com', '大霹雳-大霹雳视频专区–分甘同味–爱奇艺']
['http://zhushu.iqiyi.com', '竹书酷乐-竹书酷乐视频专区–分甘同味–爱奇艺']
['http://sogou.iqiyi.com', '搜狗影视-最新电影，最新电视剧免费在线观看']
['http://tw.iqiyi.com', '愛奇藝台灣站-全球領先的線上影音視頻網站-正版高清影片影視免費線上看']
['http://t.iqiyi.com', '爱奇艺全网影视-中国最新最全的影视资料库']
['http://lietou.iqiyi.com', '猎头平台-登录']
['http://staging.m.iqiyi.com', '爱奇艺-全球领先的在线视频网站-海量正版高清视频在线观看']
['http://gg.iqiyi.com', '游戏直播_爱奇艺直播-爱奇艺']
['http://game.iqiyi.com', '首页-爱奇艺游戏']
['http://1376dj.iqiyi.com', '声优的逆袭-1376广播大电影-微电影频道-正版高清视频在线观看-奇艺']
['http://m.iqiyi.com', '爱奇艺-全球领先的在线视频网站-海量正版高清视频在线观看']
[200, 'http://game.iqiyi.com', '首页-爱奇艺游戏']
[200, 'http://1376dj.iqiyi.com', '声优的逆袭-1376广播大电影-微电影频道-正版高清视频在线观看-奇艺']
[200, 'http://m.iqiyi.com', '爱奇艺-全球领先的在线视频网站-海量正版高清视频在线观看']
[200, 'http://v.iqiyi.com', '爱奇艺全网影视-中国最新最全的影视资料库']
[200, 'http://live.iqiyi.com', '游戏直播_爱奇艺直播-爱奇艺']
[200, 'http://sichuan.iqiyi.com', '四川频道-四川热点新闻资讯、生活人物访谈视频-爱奇艺']
[200, 'http://guanggao.iqiyi.com', '广告频道-品牌广告、公益广告等经典创意广告视频-爱奇艺']
[200, 'http://notice.iqiyi.com', 'Welcome to tengine!']
[200, 'http://sogou.iqiyi.com', '搜狗影视-最新电影，最新电视剧免费在线观看']
[200, 'http://rainbow.iqiyi.com', '彩虹公益短片计划-娱乐-最新娱乐视频资讯-爱奇艺']
[200, 'http://youxi.iqiyi.com', '游戏频道-网络游戏、单机游戏、电子竞技等游戏视频大全 -爱奇艺']
[200, 'http://g.ppstream.iqiyi.com', '网页游戏大全 - 爱奇艺网页游戏中心-webgame-最新网页游戏大全平台']
[200, 'http://37love.iqiyi.com', '37度爱-37度爱视频专区–分甘同味–爱奇艺']
[200, 'http://v2006.iqiyi.com', '唯众传媒专区-爱奇艺']
[200, 'http://tw.iqiyi.com', '愛奇藝台灣站-全球領先的線上影音視頻網站-正版高清影片影視免費線上看']
[200, 'http://lietou.iqiyi.com', '猎头平台-登录']
[200, 'http://help.pps.tv.iqiyi.com', '爱奇艺PPS影音帮助中心-播放']
[200, 'http://gg.iqiyi.com', '游戏直播_爱奇艺直播-爱奇艺']
��甘同味–爱奇艺']
[200, 'http://izaodao.iqiyi.com', '早道日语-早道日语视频专区–分甘同味–爱奇艺']
[200, 'http://yyst.iqiyi.com', '洋溢视听-洋溢视听视频专区–分甘同味–爱奇艺']
[200, 'http://geo.iqiyi.com', 'Welcome to nginx!']
[200, 'http://1376dj.iqiyi.com', '声优的逆袭-1376广播大电影-微电影频道-正版高清视频在线观看-奇艺']
[200, 'http://pili.iqiyi.com', '大霹雳-大霹雳视频专区–分甘同味–爱奇艺']
[200, 'http://cserver.iqiyi.com', '【爱奇艺用户帮助中心】-业务帮助_自助服务_客服咨询']
[200, 'http://msg.iqiyi.com', 'Welcome to nginx!']
[200, 'http://zhushu.iqiyi.com', '竹书酷乐-竹书酷乐视频专区–分甘同味–爱奇艺']
[200, 'http://t.iqiyi.com', '爱奇艺全网影视-中国最新最全的影视资料库']
[200, 'http://staging.m.iqiyi.com', '爱奇艺-全球领先的在线视频网站-海量正版高清视频在线观看']
[200, 'http://game.iqiyi.com', '首页-爱奇艺游戏']
[200, 'http://m.iqiyi.com', '爱奇艺-全球领先的在线视频网站-海量正版高清视频在线观看']
